name10,lat,lon,,medianincome,,totalpop,whitepop,nonwhitecomp,poccomp,nonwhitepop,pocpop,aapop,na_aipop,aisianpop,hawaiian,mixed2,,totalnumstops,annualstops
4211,37.899434,-122.2661928,,206199,,1992,1853,0.069779116,0.053212851,288,106,41,0,182,9,56,,111,14
4212,37.8975481,-122.2752271,,198576,,3563,2504,0.297221443,0.123772102,1142,441,34,4,701,0,403,,202,25
4213,37.8911093,-122.2813663,,83214,,3844,3204,0.166493236,0.105359001,793,405,58,6,388,4,337,,280,35
4214,37.8883409,-122.270922,,180625,,1593,1325,0.168236033,0.112366604,303,179,28,7,124,4,140,,160,20
4215,37.8920346,-122.2590314,,190484,,3640,3102,0.147802198,0.058516484,608,213,123,0,395,11,79,,112,14
4216,37.8839567,-122.2559829,,186563,,3558,2717,0.236368746,0.14811692,983,527,108,0,456,27,392,,87,11
4217,37.8819398,-122.2701843,,89931,,3198,2751,0.139774859,0.051594747,882,165,24,40,717,0,101,,677,85
4218,37.8802854,-122.2782006,,151393,,2007,1645,0.18036871,0.138016941,573,277,36,8,296,0,233,,524,66
4219,37.8794799,-122.2896443,,115583,,3632,2635,0.274504405,0.237334802,1583,862,487,5,721,0,370,,1597,200
4220,37.8590327,-122.3013426,,125218,,1756,1361,0.224943052,0.270501139,769,475,147,2,294,0,326,,11450,1431
4221,37.8733005,-122.2965391,,98083,,2685,1781,0.336685289,0.276350093,1158,742,394,66,416,0,282,,3359,420
4222,37.8728822,-122.2878154,,93432,,3144,2125,0.324109415,0.109096692,748,343,151,29,405,4,159,,3346,418
4223,37.8740723,-122.2779152,,83214,,3387,2204,0.349276646,0.186891054,1358,633,160,5,725,7,461,,1934,242
4224,37.8752396,-122.2695878,,62184,,4196,2211,0.47306959,0.062678742,2154,263,53,0,1891,0,210,,3065,383
4225,37.8773131,-122.2603183,,52917,,4658,2272,0.512237012,0.165736368,2295,772,169,245,1523,34,324,,104,13
4226,37.8738125,-122.2545472,,,,1215,,,,,,,,,,,,805,101
4227,37.8679125,-122.2495401,,48125,,4885,2413,0.506038895,0.128761515,2293,629,165,59,1664,12,393,,489,61
4228,37.8667875,-122.259979,,20579,,8368,3128,0.626195029,0.144120459,5534,1206,383,71,4328,69,683,,3407,426
4229,37.8678899,-122.269247,,44933,,4336,1006,0.76798893,0.043819188,1561,190,25,0,1371,106,59,,5985,748
4230,37.8668441,-122.2771352,,81549,,4396,2989,0.320063694,0.122611465,1838,539,319,15,1299,0,205,,1632,204
4231,37.865807,-122.2863197,,69057,,3964,2108,0.468213925,0.398839556,2173,1581,1125,22,592,41,393,,1607,201
4232,37.8645164,-122.2936857,,77063,,2794,1331,0.523622047,0.358625626,1198,1002,711,19,196,72,200,,1344,168
4233,37.8573287,-122.2842021,,83214,,3647,1797,0.507266246,0.399232246,1633,1456,890,61,177,0,505,,2077,260
4234,37.8583737,-122.275884,,73862,,4685,2808,0.400640342,0.361366062,2399,1693,810,0,706,0,883,,1919,240
4235,37.859365,-122.2680467,,71352,,3118,1940,0.377806286,0.328415651,1458,1024,585,11,434,6,422,,3486,436
4236.01,37.8588968,-122.2587175,,119674,,2642,2080,0.212717638,0.118470855,588,313,116,0,275,0,197,,977,122
4236.02,37.8631882,-122.2592723,,60228,,5659,3508,0.380102492,0.130235024,2760,737,54,27,2023,65,591,,1718,215
4237,37.8618413,-122.248923,,102763,,3633,3005,0.172859895,0.105973025,1059,385,100,18,674,20,247,,1637,205
4238,37.8547587,-122.2441385,,181938,,2925,"2,626.00",0.102222222,0.076923077,494,225,71,0,269,0,154,,739,92
4239.01,37.8523001,-122.2675177,,99271,,2020,1407,0.303465347,0.236138614,674,477,237,17,197,0,223,,1986,248
4239.02,37.8547152,-122.2573724,,150164,,1552,1104,0.288659794,0.099871134,375,155,35,0,220,0,120,,878,110
4240.01,37.8503526,-122.2746683,,76958,,3716,2026,0.454790097,0.263724435,1469,980,758,18,489,0,204,,2303,288
4240.02,37.8504976,-122.2815989,,87321,,2172,862,0.603130755,0.520257827,1372,1130,899,14,242,0,217,,1705,213
